version,version_season,season,castaway,castaway_id,advantage_id,sequence_id,day,episode,event,played_for,played_for_id,success,votes_nullified,sog_id
US,US49,49,Alex,US0734,1,1,4,2,Found (beware),,,,,2
US,US49,49,Alex,US0734,1,2,4,2,Found,,,,,2
US,US49,49,Alex,US0734,1,3,7,3,Played,Alex,US0734,Not needed,1,4
US,US49,49,Jawan,US0738,2,1,5,2,Found,,,,,2
US,US49,49,Jawan,US0738,2,2,5,2,Played,Hina,,No,,2
US,US49,49,Rizo,US0745,4,1,6,3,Found (beware),,,,,2
US,US49,49,Rizo,US0745,4,2,9,4,Found,,,,,5
US,US49,49,Rizo,US0745,4,3,24,13,Played,Rizo,US0745,Not needed,0,14
US,US49,49,MC,US0742,3,1,6,3,Found (beware),,,,,2
US,US49,49,MC,US0742,3,2,14,7,Found,,,,,8
US,US49,49,MC,US0742,3,3,14,7,Played,MC,US0742,Not needed,0,8
US,US49,49,Sophi,US0749,5,1,11,6,Found,,,,,7
US,US49,49,Sophi,US0749,5,2,23,12,Played,Steven,US0751,No,,13
US,US49,49,Sage,US0746,6,1,14,7,Found,,,,,8
US,US49,49,Sage,US0746,6,2,14,7,Played,Sage,US0746,No,,8
US,US49,49,Savannah,US0747,7,1,15,8,Found,,,,,9
US,US49,49,Savannah,US0747,7,2,15,8,Banked,,,,,9
US,US49,49,Savannah,US0747,7,3,19,10,Played,Jawan,US0738,Not needed,,11
US,US49,49,Kristina,US0740,8,1,15,8,Found,,,,,9
US,US49,49,Kristina,US0740,8,2,19,10,Played,Kristina,US0740,Not needed,1,11
US,US49,49,Steven,US0751,9,1,21,11,Found,,,,,12
US,US49,49,Steven,US0751,9,2,23,12,Played,Savannah,US0747,No,,13
US,US49,49,Sophi,US0749,10,1,24,13,Found,,,,,14
US,US49,49,Sophi,US0749,10,2,24,13,Played,Sophi,US0749,No,,14
US,US48,48,Sai,US0729,1,1,2,1,Found (beware),,,,,1
US,US48,48,Sai,US0729,1,2,2,1,Found,,,,,1
US,US48,48,Sai,US0729,1,3,5,2,Played,Sai,US0729,Not needed,1,2
