version,version_season,season,full_name,castaway_id,castaway,age,city,state,episode,day,order,result,jury_status,place,origil_tribe,jury,finalist,winner,acknowledge,ack_look,ack_speak,ack_gesture,ack_smile
US,US49,49,Nicole Mazullo,US0744,Nicole,26,Philadelphia,Pennsylvania,1,2,1,1st voted out,,18,Kele,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US49,49,Annie Davis,US0735,Annie,49,Austin,Texas,2,5,2,2nd voted out,,17,Kele,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US49,49,Jake Latimer,US0736,Jake,35,St. Albert,Alberta,3,6,3,Medically evacuated,,16,Kele,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
US,US49,49,Jeremiah Ing,US0739,Jeremiah,38,Toronto,Ontario,3,7,4,3rd voted out,,15,Kele,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US49,49,Matt Williams,US0741,Matt,52,St. George,Utah,4,8,5,4th voted out,,14,Hina,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
US,US49,49,Jason Treul,US0737,Jason,32,Santa Ana,California,5,10,6,5th voted out,,13,Hina,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US49,49,Shannon Fairweather,US0748,Shannon,27,Boston,Massachusetts,6,12,7,6th voted out,,12,Uli,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
US,US49,49,Nate Moore,US0743,Nate,47,Hermosa Beach,California,7,14,8,7th voted out,1st jury member,11,Uli,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US49,49,MC Chukwujekwu,US0742,MC,29,San Diego,California,8,15,9,8th voted out,2nd jury member,10,Hina,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US49,49,Alex Moore,US0734,Alex,26,Washington,District of Columbia,9,17,10,9th voted out,3rd jury member,9,Kele,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US49,49,Jawan Pitts,US0738,Jawan,28,Los Angeles,California,10,19,11,10th voted out,4th jury member,8,Uli,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US49,49,Sophie Segreti,US0750,Sophie,31,New York,New York,11,21,12,11th voted out,5th jury member,7,Hina,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US49,49,Steven Ramm,US0751,Steven,35,Denver,Colorado,12,23,13,12th voted out,6th jury member,6,Hina,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
US,US49,49,Kristina Mills,US0740,Kristina,35,Edmond,Oklahoma,13,24,14,13th voted out,7th jury member,5,Hina,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
