version,version_season,season,episode,fantasy_player,fantasy_point_earned,fantasy_points
US,US44,44,1,Alex F,0,0
US,US44,44,1,Ali,0,0
US,US44,44,1,Hiro,0,0
US,US44,44,1,John,0,0
US,US44,44,1,Katlynd,0,0
US,US44,44,1,Liam,0,0
US,US44,44,1,Marin,0,0
US,US44,44,1,Marko,0,0
US,US44,44,1,Naomi,0,0
US,US44,44,1,Polina,0,0
US,US44,44,1,Reed,0,0
US,US44,44,2,Alex F,46,46
US,US44,44,2,Ali,56,56
US,US44,44,2,Hiro,61,61
US,US44,44,2,John,46,46
US,US44,44,2,Katlynd,60,60
US,US44,44,2,Liam,56,56
US,US44,44,2,Marin,61,61
US,US44,44,2,Marko,61,61
US,US44,44,2,Naomi,66,66
US,US44,44,2,Polina,70,70
US,US44,44,2,Reed,66,66
US,US44,44,3,Alex F,46,92
US,US44,44,3,Ali,71,127
US,US44,44,3,Hiro,71,132
US,US44,44,3,John,70,116
US,US44,44,3,Katlynd,45,105
US,US44,44,3,Liam,61,117
US,US44,44,3,Marin,71,132
US,US44,44,3,Marko,85,146
US,US44,44,3,Naomi,110,176
US,US44,44,3,Polina,60,130
US,US44,44,3,Reed,56,122
US,US44,44,4,Alex F,80,172
US,US44,44,4,Ali,80,207
US,US44,44,4,Hiro,61,193
US,US44,44,4,John,59,175
US,US44,44,4,Katlynd,45,150
US,US44,44,4,Liam,70,187
US,US44,44,4,Marin,61,193
US,US44,44,4,Marko,50,196
US,US44,44,4,Naomi,59,235
US,US44,44,4,Polina,45,175
US,US44,44,4,Reed,66,188
US,US44,44,5,Alex F,40,212
US,US44,44,5,Ali,44,251
US,US44,44,5,Hiro,31,224
US,US44,44,5,John,24,199
US,US44,44,5,Katlynd,25,175
US,US44,44,5,Liam,30,217
US,US44,44,5,Marin,35,228
US,US44,44,5,Marko,29,225
US,US44,44,5,Naomi,28,263
US,US44,44,5,Polina,25,200
US,US44,44,5,Reed,26,214
US,US44,44,6,Alex F,32,244
