version,version_season,season,episode,day,tribe_status,tribe,castaway,immunity,vote,vote_event,vote_event_outcome,split_vote,nullified,tie,voted_out,order,vote_order,castaway_id,vote_id,voted_out_id,sog_id,challenge_id
US,US49,49,1,2,Original,Kele,Alex,,Nicole,,,,FALSE,FALSE,Nicole,1,1,US0734,US0744,US0744,1,3
US,US49,49,1,2,Original,Kele,Annie,,Nicole,,,,FALSE,FALSE,Nicole,1,1,US0735,US0744,US0744,1,3
US,US49,49,1,2,Original,Kele,Jake,,Nicole,,,,FALSE,FALSE,Nicole,1,1,US0736,US0744,US0744,1,3
US,US49,49,1,2,Original,Kele,Jeremiah,,Nicole,,,,FALSE,FALSE,Nicole,1,1,US0739,US0744,US0744,1,3
US,US49,49,1,2,Original,Kele,Nicole,,Annie,,,,FALSE,FALSE,Nicole,1,1,US0744,US0735,US0744,1,3
US,US49,49,1,2,Original,Kele,Sophi,,Nicole,,,,FALSE,FALSE,Nicole,1,1,US0749,US0744,US0744,1,3
US,US49,49,2,5,Original,Kele,Alex,,Annie,,,,FALSE,FALSE,Annie,2,1,US0734,US0735,US0735,2,4
US,US49,49,2,5,Original,Kele,Annie,,Sophi,,,,FALSE,FALSE,Annie,2,1,US0735,US0749,US0735,2,4
US,US49,49,2,5,Original,Kele,Jake,,Annie,,,,FALSE,FALSE,Annie,2,1,US0736,US0735,US0735,2,4
US,US49,49,2,5,Original,Kele,Jeremiah,,Annie,,,,FALSE,FALSE,Annie,2,1,US0739,US0735,US0735,2,4
US,US49,49,2,5,Original,Kele,Sophi,,Annie,,,,FALSE,FALSE,Annie,2,1,US0749,US0735,US0735,2,4
US,US49,49,3,7,Original,Kele,Alex,Hidden,Jeremiah,,,,FALSE,FALSE,Jeremiah,4,1,US0734,US0739,US0739,4,5
US,US49,49,3,7,Original,Kele,Jeremiah,,Alex,,,,TRUE,FALSE,Jeremiah,4,1,US0739,US0734,US0739,4,5
US,US49,49,3,7,Original,Kele,Sophi,,Jeremiah,,,,FALSE,FALSE,Jeremiah,4,1,US0749,US0739,US0739,4,5
US,US49,49,4,8,Swapped,Hina,Jason,,Matt,,,"Matt, Jason",FALSE,FALSE,Matt,5,1,US0737,US0741,US0741,5,6
US,US49,49,4,8,Swapped,Hina,Matt,,Nate,,,,FALSE,FALSE,Matt,5,1,US0741,US0743,US0741,5,6
